DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200113466,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,138,1,Central,162,1,310,BURGLARY,0329 1601 1822 1414 1403 0417 1402,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,998,,,800 S  FLOWER                       ST,,"340,473","-1,182,601"
200113470,06/16/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1400,1,Central,158,1,310,BURGLARY,1609 0344 1822 1402,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,800 E  5TH                          ST,,"340,426","-1,182,412"
200912143,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,141,9,Van Nuys,948,1,310,BURGLARY,1609 1420 0358,31,F,O,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,13300    BURBANK                      BL,,"341,721","-1,184,225"
201109528,05/19/2020 12:00:00 AM,05/19/2020 12:00:00 AM,540,11,Northeast,1118,1,310,BURGLARY,1606 0344,37,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,5800    MARMION                      WY,,"34,111","-1,181,925"
200711084,06/29/2020 12:00:00 AM,06/28/2020 12:00:00 AM,1430,7,Wilshire,749,1,310,BURGLARY,0344 0358,47,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,4300 W  10TH                         ST,,"340,556","-1,183,254"
200813419,08/27/2020 12:00:00 AM,03/15/2020 12:00:00 AM,1200,8,West LA,884,1,310,BURGLARY,0344 1602 1822,50,F,A,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,11200 W  PICO                         BL,,"34,036","-1,184,371"
200909174,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,150,9,Van Nuys,919,1,310,BURGLARY,1607 0344 0358 0345,52,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,6700    WOODMAN                      AV,,"341,922","-1,184,312"
200113541,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1830,1,Central,152,1,310,BURGLARY,1403 1822 1420 0344 0329 1402 1607,51,M,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,310,998,,,800 W  6TH                          ST,,"340,502","-1,182,574"
200616395,10/07/2020 12:00:00 AM,09/25/2020 12:00:00 AM,2300,6,Hollywood,622,1,310,BURGLARY,0344 1822,24,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1800 N  SIERRA BONITA                AV,,"341,035","-1,183,534"
200711722,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,325,7,Wilshire,711,1,310,BURGLARY,0344 1609,28,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,400 N  FAIRFAX                      AV,,"340,782","-1,183,695"
200815220,10/14/2020 12:00:00 AM,09/28/2020 12:00:00 AM,1000,8,West LA,881,1,310,BURGLARY,0344 1822 0397 1602 1202 0321,69,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,11800 W  OLYMPIC                      BL,,"34,033","-1,184,504"
200513925,09/08/2020 12:00:00 AM,09/08/2020 12:00:00 AM,143,5,Harbor,514,1,310,BURGLARY,0216 0342 0344 0358 1601,72,M,H,221,PUBLIC STORAGE,,,AO,Adult Other,310,,,,1200 W  PACIFIC COAST                HY,,"337,904","-118,278"
200312867,06/18/2020 12:00:00 AM,06/15/2020 12:00:00 AM,600,3,Southwest,377,1,310,BURGLARY,1822 1605 0344 1202,72,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1200 W  39TH                         ST,,"340,155","-1,182,975"
200618504,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1040,6,Hollywood,638,1,310,BURGLARY,1822 1501,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,6100    FRANKLIN                     AV,,"341,053","-1,183,226"
201111238,07/09/2020 12:00:00 AM,07/03/2020 12:00:00 AM,235,11,Northeast,1153,1,310,BURGLARY,344,0,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5100    LOS HERMOSOS                 WY,,"341,136","-1,183,027"
201009330,05/24/2020 12:00:00 AM,05/24/2020 12:00:00 AM,2200,10,West Valley,1033,1,310,BURGLARY,1822 1606,0,M,W,721,HIGH SCHOOL,,,IC,Invest Cont,310,,,,18600    ERWIN                        ST,,"341,839","-1,185,393"
200808542,04/21/2020 12:00:00 AM,04/20/2020 12:00:00 AM,1250,8,West LA,831,1,310,BURGLARY,1822 1609,0,X,X,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,12000    WILSHIRE                     BL,,"340,473","-1,184,768"
200215814,10/05/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1500,2,Rampart,237,1,310,BURGLARY,0344 0329 0352 1602,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,200    WITMER                       ST,,"340,603","-1,182,619"
200716944,12/10/2020 12:00:00 AM,12/08/2020 12:00:00 AM,600,7,Wilshire,773,1,310,BURGLARY,1601 0344,56,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1800 S  CURSON                       AV,,"340,409","-118,363"
200517582,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,1030,5,Harbor,513,1,310,BURGLARY,1268 0344 1605,54,M,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,,,IC,Invest Cont,310,,,,1200 W  PACIFIC COAST                HY,,"337,898","-118,298"
200813969,09/11/2020 12:00:00 AM,09/06/2020 12:00:00 AM,900,8,West LA,811,1,310,BURGLARY,1822 1403 1612 0321 0344,53,M,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1300    LUNA VISTA                   DR,,"340,611","-1,185,501"
200908866,04/24/2020 12:00:00 AM,04/23/2020 12:00:00 AM,1730,9,Van Nuys,981,1,310,BURGLARY,0344 1606 0321 1420,44,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,15200    VENTURA                      BL,,"341,535","-118,464"
200811571,07/06/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1200,8,West LA,829,1,310,BURGLARY,1822 1606 0344,67,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,10400    EASTBORNE                    AV,,"340,576","-1,184,259"
200807835,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,1700,8,West LA,805,1,310,BURGLARY,1267 0344,33,M,W,118,CONSTRUCTION SITE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,400    BELLAGIO                     TR,,"34,079","-118,462"
200805748,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,2200,8,West LA,885,1,310,BURGLARY,0344 1822 1607,34,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,10600 W  PICO                         BL,,"340,435","-118,422"
200911149,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,245,9,Van Nuys,904,1,310,BURGLARY,0358 1414 1420 0344 1602 1609,48,M,W,202,LIQUOR STORE,,,IC,Invest Cont,310,,,,7200    KESTER                       AV,,"342,084","-1,184,599"
200211420,06/16/2020 12:00:00 AM,06/14/2020 12:00:00 AM,2200,2,Rampart,269,1,310,BURGLARY,0329 1601,42,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1400 W  8TH                          ST,,"340,506","-1,182,699"
200409726,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1230,4,Hollenbeck,491,1,310,BURGLARY,0344 0910 1602 1822,0,M,W,809,METROLINK TRAIN,,,IC,Invest Cont,310,,,,OLYMPIC,RIO VISTA,"340,253","-1,182,221"
200112403,05/30/2020 12:00:00 AM,05/30/2020 12:00:00 AM,100,1,Central,152,1,310,BURGLARY,0329 0325,55,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,500    OLIVE                        ST,,"340,495","-1,182,529"
200409907,06/18/2020 12:00:00 AM,06/18/2020 12:00:00 AM,244,4,Hollenbeck,424,1,310,BURGLARY,0342 0344 0329 1609,0,M,W,729,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,310,,,,3800    SELIG                        PL,,"340,685","-118,201"
200610843,05/31/2020 12:00:00 AM,05/30/2020 12:00:00 AM,2130,6,Hollywood,646,1,310,BURGLARY,1822 1402 0325 1609,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,1500 N  CAHUENGA                     BL,,"34,098","-1,183,295"
200708736,04/29/2020 12:00:00 AM,04/25/2020 12:00:00 AM,2200,7,Wilshire,721,1,310,BURGLARY,0344 1609,41,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,300 S  DOHENY                       DR,,"340,736","-1,183,897"
201105273,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,104,11,Northeast,1144,1,310,BURGLARY,0344 0358 1822 1607,0,X,X,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,2200    MICHELTORENA                 ST,,"340,997","-1,182,694"
200910197,05/27/2020 12:00:00 AM,05/24/2020 12:00:00 AM,1535,9,Van Nuys,941,1,310,BURGLARY,1218 0344 1414,47,M,O,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,15000    OXNARD                       ST,,"341,794","-1,184,596"
200611230,06/09/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1130,6,Hollywood,667,1,310,BURGLARY,0358 0344 0329 1822 1414,0,X,X,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,310,,,,5900 W  SUNSET                       BL,,"340,981","-118,318"
200211555,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1135,2,Rampart,285,1,310,BURGLARY,1601 1805 0443,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1600 W  12TH                         PL,,"340,455","-1,182,765"
200916135,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,2100,9,Van Nuys,952,1,310,BURGLARY,0358 1609 1402 0324 1414 0344,51,M,B,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,14800    BURBANK                      BL,,"341,721","-1,184,557"
200113467,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,209,1,Central,163,1,310,BURGLARY,1601 0344 1822 1420 1414 0352 0329,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,310,,,,700 S  BROADWAY,,"340,452","-1,182,534"
200113603,06/18/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1830,1,Central,162,1,310,BURGLARY,344,42,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700 S  GRAND                        AV,,"340,473","-1,182,566"
200510694,06/17/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1500,5,Harbor,583,1,310,BURGLARY,0321 0344 0358 1236 1607,0,M,O,723,PRIVATE SCHOOL/PRESCHOOL,,,AO,Adult Other,310,,,,1900 S  WESTERN                      AV,,"337,265","-1,183,112"
200517675,12/10/2020 12:00:00 AM,12/10/2020 12:00:00 AM,1300,5,Harbor,517,1,310,BURGLARY,344,70,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1100    BROAD                        AV,,"337,849","-1,182,612"
200513986,09/10/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1200,5,Harbor,514,1,310,BURGLARY,344,49,M,B,221,PUBLIC STORAGE,,,AO,Adult Other,310,,,,1200 W  PACIFIC COAST                HY,,"337,904","-118,278"
200211530,06/19/2020 12:00:00 AM,06/18/2020 12:00:00 AM,2140,2,Rampart,251,1,310,BURGLARY,1822 0344 1602 0397 0329,19,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,2700    WILSHIRE                     BL,,"340,609","-1,182,823"
200808478,04/19/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2200,8,West LA,836,1,310,BURGLARY,0344 1822,30,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,10400    LOUISIANA                    AV,,"340,516","-1,184,215"
200813076,08/18/2020 12:00:00 AM,08/13/2020 12:00:00 AM,1500,8,West LA,883,1,310,BURGLARY,0321 0344 1822,0,X,X,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1900 S  SEPULVEDA                    BL,,"34,04","-1,184,393"
200708056,04/07/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1400,7,Wilshire,702,1,310,BURGLARY,344,37,F,O,220,NAIL SALON,,,IC,Invest Cont,310,,,,7700    MELROSE                      AV,,"340,837","-1,183,574"
200312989,06/21/2020 12:00:00 AM,06/21/2020 12:00:00 AM,235,3,Southwest,336,1,310,BURGLARY,1607 1822 0329 0321 1402 0209,19,X,X,222,LAUNDROMAT,,,IC,Invest Cont,310,,,,2700 S  WESTERN                      AV,,"340,282","-1,183,133"
200916539,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1420,9,Van Nuys,984,1,310,BURGLARY,0358 1609 1414 0352 0344,49,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,14500    BENEFIT                      ST,,"341,491","-1,184,491"
200100848,06/17/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1800,1,Central,111,1,310,BURGLARY,1601 1822 0329 0344 1402 1605,48,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,998,,,700    YALE                         ST,,"340,612","-1,182,417"
201000981,11/19/2020 12:00:00 AM,11/11/2020 12:00:00 AM,2000,10,West Valley,1061,1,310,BURGLARY,1202 1822 0344 1420,65,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,5400    BECKFORD                     AV,,"341,691","-1,185,512"
200714258,09/25/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1045,7,Wilshire,713,1,310,BURGLARY,344,31,M,H,505,MOTEL,,,IC,Invest Cont,310,,,,7700    BEVERLY                      BL,,"340,782","-1,183,573"
200113724,06/21/2020 12:00:00 AM,06/21/2020 12:00:00 AM,622,1,Central,162,1,310,BURGLARY,0344 0329 1605 1822 1420,51,M,O,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,300 W  9TH                          ST,,"340,462","-1,182,585"
200810994,06/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1230,8,West LA,826,1,310,BURGLARY,1202 0321 1822 0344 0314,69,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,100 S  GRETNA GREEN                 WY,,"340,582","-1,184,793"
200113763,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,532,1,Central,128,1,310,BURGLARY,1609 0344 1822 0324,0,X,X,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,300 E  2ND                          ST,,"340,498","-118,24"
200211531,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,300,2,Rampart,219,1,310,BURGLARY,0344 1609 0329 1402 0314,28,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,998,,,1300    BELLEVUE                     AV,,"340,677","-118,254"
201014472,10/25/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1000,10,West Valley,1008,1,310,BURGLARY,1822 0344 1414 1607,46,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,7300    FORBES                       AV,,"34,203","-118,499"
200706226,02/17/2020 12:00:00 AM,02/17/2020 12:00:00 AM,615,7,Wilshire,711,1,310,BURGLARY,1601 0344,36,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,300 N  FAIRFAX                      AV,,"340,782","-1,183,695"
200512953,08/12/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1800,5,Harbor,562,1,310,BURGLARY,0344 0329,30,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900 S  PATTON                       AV,,"337,352","-1,183,056"
200810079,05/31/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1530,8,West LA,852,1,310,BURGLARY,1822 1609 0344,0,X,X,403,DRUG STORE,,,IC,Invest Cont,310,,,,11800    SANTA MONICA                 BL,,"340,429","-1,184,581"
200609495,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,19,6,Hollywood,636,1,310,BURGLARY,0325 0601 1601 2004,0,X,X,401,MINI-MART,,,AA,Adult Arrest,310,,,,1700 N  HIGHLAND                     AV,,"341,016","-1,183,387"
200508347,04/16/2020 12:00:00 AM,04/15/2020 12:00:00 AM,1100,5,Harbor,558,1,310,BURGLARY,0321 0344 1608 0329,72,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400 N  PACIFIC                      AV,,"33,746","-1,182,879"
200708100,04/08/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1030,7,Wilshire,773,1,310,BURGLARY,1822 0344 0358,80,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1800    HAUSER                       BL,,"340,417","-1,183,594"
200706259,02/17/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1925,7,Wilshire,717,1,310,BURGLARY,1609 0321 0344 0352,36,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400 N  JUNE                         ST,,"340,783","-1,183,392"
201012835,09/07/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1200,10,West Valley,1089,1,310,BURGLARY,1236 1420 1607 1605 0377 0304 1822 0344 1402 0321,0,M,O,518,TRANSITIONAL HOUSING/HALFWAY HOUSE,,,AA,Adult Arrest,310,998,,,15700    VENTURA                      BL,,"341,552","-1,184,749"
200409834,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1930,4,Hollenbeck,497,1,310,BURGLARY,0344 1602 0329,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,3400 E  OLYMPIC                      BL,,"340,188","-1,182,051"
200713566,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,640,7,Wilshire,782,1,310,BURGLARY,1822 0344 1300,44,F,A,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,5700 S  GLENNIE                      LN,,"34,037","-1,183,675"
201010384,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2150,10,West Valley,1079,1,310,BURGLARY,1609 1822 0321 1420 1414,44,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,15500    MILBANK                      ST,,"341,569","-1,184,718"
200409815,06/15/2020 12:00:00 AM,05/23/2020 12:00:00 AM,700,4,Hollenbeck,459,1,310,BURGLARY,0344 0352,58,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,310,,,,400 N  EZRA                         ST,,"340,414","-1,181,955"
200610811,05/31/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1930,6,Hollywood,646,1,310,BURGLARY,0601 0329 0325,0,X,X,203,OTHER BUSINESS,,,AO,Adult Other,310,,,,1300 N  HIGHLAND                     AV,,"340,944","-1,183,386"
200611199,06/08/2020 12:00:00 AM,06/08/2020 12:00:00 AM,430,6,Hollywood,642,1,310,BURGLARY,0314 0344 0358 1822,36,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,1600 N  OGDEN                        DR,,"340,999","-1,183,594"
201012615,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,800,10,West Valley,1039,1,310,BURGLARY,1822 1609 1414 0202 0206 0211 1202,77,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6500    DENSMORE                     AV,,"341,886","-1,184,774"
201008625,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,418,10,West Valley,1037,1,310,BURGLARY,1822 0344 1609 1420 0216 0202 0206,0,M,W,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,310,,,,17600    VANOWEN                      ST,,"341,937","-1,185,167"
200711163,07/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1700,7,Wilshire,725,1,310,BURGLARY,344,40,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,100 S  GARDNER                      ST,,"340,732","-1,183,532"
201111023,07/01/2020 12:00:00 AM,07/01/2020 12:00:00 AM,1715,11,Northeast,1177,1,310,BURGLARY,1608 0344,62,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,2600    IDELL                        ST,,"340,866","-1,182,242"
200817638,12/16/2020 12:00:00 AM,12/12/2020 12:00:00 AM,1845,8,West LA,811,1,310,BURGLARY,1420 0389 0216 0321 0344 1822,49,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,600    PALISADES                    DR,,"340,457","-1,185,523"
200917314,11/16/2020 12:00:00 AM,11/14/2020 12:00:00 AM,1600,9,Van Nuys,904,1,310,BURGLARY,0321 1402,33,M,B,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,998,,,15000    VALERIO                      ST,,"342,048","-1,184,618"
200616630,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,100,6,Hollywood,643,1,310,BURGLARY,0344 0601,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,7400 W  SUNSET                       BL,,"341,007","-1,183,494"
