UNIT,UNIT_NUM,STUB_NAME,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1950,1,85 years and over,6,8.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1960,2,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1960,2,15-24 years,2,8.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1960,2,15-19 years,2.1,5.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1960,2,20-24 years,2.2,11.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1960,2,25-44 years,3,17.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1960,2,25-34 years,3.1,14.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1960,2,35-44 years,3.2,21,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1960,2,45-64 years,4,34.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1960,2,45-54 years,4.1,31.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1960,2,55-64 years,4.2,38.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1960,2,65 years and over,5,44,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1960,2,65-74 years,5.1,39.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1960,2,75-84 years,5.2,52.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1960,2,85 years and over,6,57.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1960,2,10-14 years,1,,*
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1960,2,15-24 years,2,2.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1960,2,15-19 years,2.1,1.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1960,2,20-24 years,2.2,2.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1960,2,25-44 years,3,6.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1960,2,25-34 years,3.1,5.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1960,2,35-44 years,3.2,7.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1960,2,45-64 years,4,10.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1960,2,45-54 years,4.1,10.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1960,2,55-64 years,4.2,10.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1960,2,65 years and over,5,8.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1960,2,65-74 years,5.1,8.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1960,2,75-84 years,5.2,8.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1960,2,85 years and over,6,6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1970,3,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1970,3,15-24 years,2,13.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1970,3,15-19 years,2.1,8.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1970,3,20-24 years,2.2,19.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1970,3,25-44 years,3,20.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1970,3,25-34 years,3.1,19.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1970,3,35-44 years,3.2,22.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1970,3,45-64 years,4,30,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1970,3,45-54 years,4.1,27.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1970,3,55-64 years,4.2,32.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1970,3,65 years and over,5,38.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1970,3,65-74 years,5.1,36,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1970,3,75-84 years,5.2,42.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1970,3,85 years and over,6,42.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1970,3,10-14 years,1,0.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1970,3,15-24 years,2,4.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1970,3,15-19 years,2.1,2.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1970,3,20-24 years,2.2,5.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1970,3,25-44 years,3,10.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1970,3,25-34 years,3.1,8.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1970,3,35-44 years,3.2,11.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1970,3,45-64 years,4,12,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1970,3,45-54 years,4.1,12.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1970,3,55-64 years,4.2,11.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1970,3,65 years and over,5,8.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1970,3,65-74 years,5.1,9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1970,3,75-84 years,5.2,7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1970,3,85 years and over,6,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1980,4,10-14 years,1,1.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1980,4,15-24 years,2,20.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1980,4,15-19 years,2.1,13.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1980,4,20-24 years,2.2,26.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1980,4,25-44 years,3,24,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1980,4,25-34 years,3.1,25,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1980,4,35-44 years,3.2,22.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1980,4,45-64 years,4,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1980,4,45-54 years,4.1,22.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1980,4,55-64 years,4.2,24.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1980,4,65 years and over,5,35,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1980,4,65-74 years,5.1,30.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1980,4,75-84 years,5.2,42.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1980,4,85 years and over,6,50.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1980,4,10-14 years,1,0.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1980,4,15-24 years,2,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1980,4,15-19 years,2.1,3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1980,4,20-24 years,2.2,5.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1980,4,25-44 years,3,7.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1980,4,25-34 years,3.1,7.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1980,4,35-44 years,3.2,8.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1980,4,45-64 years,4,8.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1980,4,45-54 years,4.1,9.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1980,4,55-64 years,4.2,8.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1980,4,65 years and over,5,6.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1980,4,65-74 years,5.1,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1980,4,75-84 years,5.2,5.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1980,4,85 years and over,6,5.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1981,5,10-14 years,1,1.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1981,5,15-24 years,2,19.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1981,5,15-19 years,2.1,13.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1981,5,20-24 years,2.2,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1981,5,25-44 years,3,24.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1981,5,25-34 years,3.1,25.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1981,5,35-44 years,3.2,23.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1981,5,45-64 years,4,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1981,5,45-54 years,4.1,22.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1981,5,55-64 years,4.2,25,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1981,5,65 years and over,5,33.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1981,5,65-74 years,5.1,28.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1981,5,75-84 years,5.2,41.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1981,5,85 years and over,6,50.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1981,5,10-14 years,1,0.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1981,5,15-24 years,2,4.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1981,5,15-19 years,2.1,3.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1981,5,20-24 years,2.2,5.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1981,5,25-44 years,3,8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1981,5,25-34 years,3.1,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1981,5,35-44 years,3.2,8.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1981,5,45-64 years,4,9.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1981,5,45-54 years,4.1,10.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1981,5,55-64 years,4.2,8.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1981,5,65 years and over,5,6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1981,5,65-74 years,5.1,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1981,5,75-84 years,5.2,5.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1981,5,85 years and over,6,3.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1982,6,10-14 years,1,1.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1982,6,15-24 years,2,19.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1982,6,15-19 years,2.1,14,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1982,6,20-24 years,2.2,25.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1982,6,25-44 years,3,24.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1982,6,25-34 years,3.1,25.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1982,6,35-44 years,3.2,22.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1982,6,45-64 years,4,25.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1982,6,45-54 years,4.1,24.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1982,6,55-64 years,4.2,26.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1982,6,65 years and over,5,36.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1982,6,65-74 years,5.1,31.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1982,6,75-84 years,5.2,45.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1982,6,85 years and over,6,50.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1982,6,10-14 years,1,0.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1982,6,15-24 years,2,4.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1982,6,15-19 years,2.1,3.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1982,6,20-24 years,2.2,5.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1982,6,25-44 years,3,7.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1982,6,25-34 years,3.1,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1982,6,35-44 years,3.2,8.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1982,6,45-64 years,4,9.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1982,6,45-54 years,4.1,9.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1982,6,55-64 years,4.2,8.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1982,6,65 years and over,5,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1982,6,65-74 years,5.1,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1982,6,75-84 years,5.2,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1982,6,85 years and over,6,3.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1983,7,10-14 years,1,1.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1983,7,15-24 years,2,19.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1983,7,15-19 years,2.1,13.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1983,7,20-24 years,2.2,24,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1983,7,25-44 years,3,23.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1983,7,25-34 years,3.1,25.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1983,7,35-44 years,3.2,22,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1983,7,45-64 years,4,24.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1983,7,45-54 years,4.1,23.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1983,7,55-64 years,4.2,25.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1983,7,65 years and over,5,38.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1983,7,65-74 years,5.1,31.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1983,7,75-84 years,5.2,49.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1983,7,85 years and over,6,54.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1983,7,10-14 years,1,0.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1983,7,15-24 years,2,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1983,7,15-19 years,2.1,3.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1983,7,20-24 years,2.2,5.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1983,7,25-44 years,3,7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1983,7,25-34 years,3.1,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1983,7,35-44 years,3.2,7.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1983,7,45-64 years,4,8.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1983,7,45-54 years,4.1,9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1983,7,55-64 years,4.2,8.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1983,7,65 years and over,5,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1983,7,65-74 years,5.1,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1983,7,75-84 years,5.2,6.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1983,7,85 years and over,6,5.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1984,8,10-14 years,1,1.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1984,8,15-24 years,2,20.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1984,8,15-19 years,2.1,14.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1984,8,20-24 years,2.2,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1984,8,25-44 years,3,24.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1984,8,25-34 years,3.1,25.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1984,8,35-44 years,3.2,22.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1984,8,45-64 years,4,25.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1984,8,45-54 years,4.1,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1984,8,55-64 years,4.2,27.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1984,8,65 years and over,5,39.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1984,8,65-74 years,5.1,33.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1984,8,75-84 years,5.2,48.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1984,8,85 years and over,6,52.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1984,8,10-14 years,1,0.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1984,8,15-24 years,2,4.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1984,8,15-19 years,2.1,3.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1984,8,20-24 years,2.2,5.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1984,8,25-44 years,3,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1984,8,25-34 years,3.1,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1984,8,35-44 years,3.2,7.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1984,8,45-64 years,4,8.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1984,8,45-54 years,4.1,9.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1984,8,55-64 years,4.2,8.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1984,8,65 years and over,5,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1984,8,65-74 years,5.1,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1984,8,75-84 years,5.2,6.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1984,8,85 years and over,6,5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1985,9,10-14 years,1,2.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1985,9,15-24 years,2,21,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1985,9,15-19 years,2.1,15.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1985,9,20-24 years,2.2,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1985,9,25-44 years,3,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1985,9,25-34 years,3.1,24.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1985,9,35-44 years,3.2,22.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1985,9,45-64 years,4,25.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1985,9,45-54 years,4.1,23.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1985,9,55-64 years,4.2,27.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1985,9,65 years and over,5,40.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1985,9,65-74 years,5.1,33.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1985,9,75-84 years,5.2,53.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1985,9,85 years and over,6,56.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1985,9,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1985,9,15-24 years,2,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1985,9,15-19 years,2.1,3.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1985,9,20-24 years,2.2,4.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1985,9,25-44 years,3,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1985,9,25-34 years,3.1,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1985,9,35-44 years,3.2,7.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1985,9,45-64 years,4,8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1985,9,45-54 years,4.1,8.3,
